id,center_name,address,area,area_id,crm_center_id,crm_area_id,city_id,state_id,country_id,pincode,latitude,longitude,phone_number,status,created_by,updated_by,created_at,updated_at
39,Pitampura,"203-204, 2Nd Floor, P.P.Towers, Netaji Subhash Place, Pitampuranew Delhi, Delhi",Pitampura,NULL,INDLDEL07,NULL,706,10,82,110034,28.6957377,77.1426672,"011-27353488, 011-27355006, 011-47047434",1,1,0,7/26/2017 10:19,NULL
40,Model Town,"F-14/30, Model Town-Iinew Delhi, Delhi",Model Town,NULL,INDLDEL04,NULL,706,10,82,110009,28.707347,77.1893033,"011-27417371, 72",1,1,0,7/26/2017 10:19,NULL
41,Preet Vihar,"G-85, Main Vikas Marg, Preet Viharnew Delhi, Delhi",Preet Vihar,NULL,INDLDEL08,NULL,706,10,82,110092,28.642385,77.2947726,011 - 42421001/02/03,1,1,0,7/26/2017 10:19,NULL
42,Sector 16,"Sco - 5 ,1St Floor, Sector 16, Near Yes Bank, Faridabadfaridabad, Haryana",Sector 16,NULL,INURDHD01,NULL,1119,13,82,121001,28.413955,77.3189153,0129-2268937 / 2269901/02,1,1,0,7/26/2017 10:19,NULL
43,Indirapuram,"Ground Floor 10, Gaur Gravity-8, Vaibhav Khand, Indirapuramghaziabad, Uttar Pradesh",Indirapuram,NULL,INUPGHZ02,NULL,4759,38,82,201014,28.63403,77.3584283,0120 - 4115516 / 17 / 18,1,1,0,7/26/2017 10:19,NULL
44,Rajnagar,"D-Block 26,27 First Floor Rdc, Opposite Gaur Central Mallghaziabad, Uttar Pradesh",Rajnagar,NULL,INUPGHZ01,NULL,4759,38,82,201001,28.674418,77.4373013,0120.2821940/3941/4273,1,1,0,7/26/2017 10:19,NULL
45,Panjim,"Casa Albela Villa,Near Campal Clinic,Campalpanjim, Goa",Panjim,NULL,INGOGOA01,NULL,733,11,82,403001,15.488434,73.8131823,0832 - 2421429 / 30,1,1,0,7/26/2017 10:19,NULL
46,Sohna Road,"Shop No. 22, Vatika City Market, Sector- 49, Sohna Roadgurugram, Haryana",Sohna Road,NULL,INHRGUR04,NULL,1126,13,82,122018,28.4022755,77.0433627,"0124-4032370,8744051970",1,1,0,7/26/2017 10:19,NULL
47,Dlf Phase I,"A-14/23, Dlf Phase-1Gurugram, Haryana",Dlf Phase I,NULL,INHRGUR01,NULL,1126,13,82,122001,28.4692399,77.0840781,0124-2354900-01,1,1,0,7/26/2017 10:19,NULL
48,Palam Vihar,"Sco 60, Dsc Sector 23A, Opp H. P. Petrol Pumpgurugram, Haryana",Palam Vihar,NULL,INHRGUR02,NULL,1126,13,82,122017,28.5084796,77.0639631,0124 - 4205470 / 71,1,1,0,7/26/2017 10:19,NULL
49,Gnb Road,"3Rd Floor,Agni Shanti Business Park Opposite Agp Office,Gnb Road,Ambariguwahati, Assam",Gnb Road,NULL,INASGUW02,NULL,371,4,82,781001,26.183878,91.7515533,"0361-2373816/876, +919859928108",1,1,0,7/26/2017 10:19,NULL
50,Christian Basti,"3Rd Floor,J.K Heritage,G.S Road, Christianbasti,Guwahatiguwahati, Assam",Christian Basti,NULL,INASGUW01,NULL,371,4,82,781005,26.157256,91.7747303,"0361-2345555,2346666",1,1,0,7/26/2017 10:19,NULL
51,Gwalior,"45A,Gf City Centre,Opposite Airtel Officegwalior, Madhya Pradesh",Gwalior,NULL,INMPGWL01,NULL,2214,21,82,474001,26.20595,78.1867063,0751 - 4015700 / 800,1,1,0,7/26/2017 10:19,NULL
52,Hubli,"4/1, 1St Floor, Kvm Plaza, Opp Sona Chamber, Next To Jtk Showroom, Club Roadopposite Deputy Commissioner Police Officehubli, Karnataka",Hubli,NULL,INKRHUB01,NULL,1647,17,82,580029,21.84924,82.7786323,083 - 62358833 / 34,1,1,0,7/26/2017 10:19,NULL
53,Kukatpally,"H No. 211, First Floor,Mig 1,Road Number 1 Near Icici Direct,Kphb Colonyhyderabad, Telangana",Kukatpally,NULL,INAPHYD07,NULL,4460,2,82,500072,21.849679,82.7775163,"040-23151686,152686,153686",1,1,0,7/26/2017 10:19,NULL
54,As Rao Nagar,"Block Number 18,Maruthi Arcade,Dr. As Rao Nagarhyderabad, Telangana",As Rao Nagar,NULL,INAPHYD05,NULL,4460,2,82,500062,17.4816259,78.5512747,040-27140652,1,1,0,7/26/2017 10:19,NULL
55,Hi-Tech City,"No. 291/14/9/2, Bhasker Empire, Opp. Jayabheri Silicon County, Kondapurhyderabad, Telangana",Hi-Tech City,NULL,INAPHYD03,NULL,4460,2,82,500032,19.6174265,78.3607038,04023113856/57/67,1,1,0,7/26/2017 10:19,NULL
56,Srinagar Colony,"House No:8-3-986 & 986/1, Plot No: 124, Ward No:6, Block F, Srinagar Colonyhyderabad, Telangana",Srinagar Colony,NULL,INAPHYD08,NULL,4460,2,82,500073,19.6171677,78.3609183,"040-23758828/8838/8848, 9346118907",1,1,0,7/26/2017 10:19,NULL
57,Banjara Hills,"8-2-684/3/J/A,Plot Number A,Road Number 12 Above Volvo Showroom,Banjara Hillshyderabad, Telangana",Banjara Hills,NULL,INAPHYD01,NULL,4460,2,82,500034,17.4128286,78.4282677,"040-23370708,23378906,23378942",1,1,0,7/26/2017 10:19,NULL
58,Himayat Nagar,"No. 3-6-365 /A/B, Sama Towers, Opp. Stanza, Mahaveer Chambers, Liberty Circle, Himayat Nagar,Hyderabad, Telangana",Himayat Nagar,NULL,INAPHYD02,NULL,4460,2,82,500029,19.5896393,78.3605734,040-23262163/64/65,1,1,0,7/26/2017 10:19,NULL
59,Vijay Nagar,"Bf-28, Gurjar Square Building, Near Doodh Amrit,3Rd Floor, Scheme No. 54, Vijay Nagar,Indore, Madhya Pradesh",Vijay Nagar,NULL,INMPIND01,NULL,2229,21,82,452010,22.755944,75.8894783,0731-4935040,1,1,0,7/26/2017 10:19,NULL
60,Ashok Marg,"K-11-B, 1St Floor, Guru Nanak Complex, Ashok Marg, C-Schemejaipur, Rajasthan",Ashok Marg,NULL,INRJJPR01,NULL,3378,33,82,302001,26.914358,75.8045313,0141 - 2363251 / 52,1,1,0,7/26/2017 10:19,NULL
61,Vaishali Nagar,"E-16, 1St Floor,Chandra Tower,Near Gupta Storeopposite Pnb Bank,Vaishali Nagarjaipur, Rajasthan",Vaishali Nagar,NULL,INRJJPR02,NULL,3378,33,82,302021,26.9097099,75.7416612,0141-2358530/31,1,1,0,7/26/2017 10:19,NULL
62,"Malviya Nagar, Rajasthan","36-37, 1St Floor,Sdc Building,Near Mouji Colonypradhan Marg,Malviya Nagarjaipur, Rajasthan",Malviya Nagar,NULL,INRJJPR04,NULL,3378,33,82,302017,26.8587158,75.8104094,0141-2520429/2520468,1,1,0,7/26/2017 10:19,NULL
63,Jalandhar,"Vlcc Health Care Ltd 688-R Model Town 1St Floor Julka Tower Above Yes Bank Jalandhar Cityjalandhar, Punjab",Jalandhar,NULL,INPBJLD01,NULL,3203,32,82,144003,31.3036887,75.5756643,0181-5074695-96-97-98-99,1,1,0,7/26/2017 10:19,NULL
64,Channi Himmat,"Vlcc Health Care Ltd. Ground Floor, Sector 3, Channi, Himmat Railway Phatak,Jammu, Jammu And Kashmir",Channi Himmat,NULL,INJKJMU02,NULL,1303,15,82,180015,32.6907329,74.8881745,,1,1,0,7/26/2017 10:19,NULL
65,"Gandhi Nagar, Jammu","20 C/C,Gandhi Nagarjammu, J&K","Gandhi Nagar, Jammu",NULL,INJKJMU01,NULL,1303,15,82,180004,33.879851,75.1354921,"0191-2450422, 2430736, 09796871777",1,1,0,7/26/2017 10:19,NULL
66,Swaroop Nagar,"7/190, Nageshwar Tower, Swaroop Nagar,Kanpur, Uttar Pradesh",Swaroop Nagar,NULL,INUPKPR01,NULL,4861,38,82,208002,26.4828867,80.3203491,"0512 - 2557147, 2557153, 3048397",1,1,0,7/26/2017 10:19,NULL
67,Howrah,"Plot No.35, Dr. Abani Dutta Road, Premises No. A11 & A12, Howrahkolkata, West Bengal",Howrah,NULL,INWBKKT03,NULL,5583,41,82,711106,22.5726577,88.128257,033-26757231/32/33,1,1,0,7/26/2017 10:19,NULL
68,Alipore,"Flat No.1C & 1D,16S & 15N,Block A,New Aliporekolkata, West Bengal",Alipore,NULL,INWBKKT01,NULL,5583,41,82,700053,22.517659,88.3215383,033 - 23997176 / 77 / 78,1,1,0,7/26/2017 10:19,NULL
69,Willow Tower,"115A,Biren Roy Road (East),Behala Chowrastakolkata, West Bengal",Willow Tower,NULL,INWBKKT07,NULL,5583,41,82,700008,22.485346,88.3067203,033 - 2488-3434/35/36,1,1,0,7/26/2017 10:19,NULL
70,Theatre Road,"33, Shakespeare Sarani, 1St Floor,Opp. Rani Birla Collegekolkata, West Bengal",Theatre Road,NULL,INWBKKT05,NULL,5583,41,82,700017,22.544395,88.3550733,033 - 22893131 / 32 / 33,1,1,0,7/26/2017 10:19,NULL
71,Vip Road,"Swastik Building, 2Nd Floor,Nazrul Islam Avenueopposite Haldiram,Near Charnock Hospital,Rajarhat Vip Roadkolkata, West Bengal",Vip Road,NULL,INWBKKT04,NULL,5583,41,82,700157,22.626076,88.4314553,033 2573 5700 / 5701 / 5702,1,1,0,7/26/2017 10:19,NULL
72,Jodhpur Park,"1/432, Gariahat Road,Jodhpur Parkkolkata, West Bengal",Jodhpur Park,NULL,INWBKKT06,NULL,5583,41,82,700068,22.506852,88.3651123,033 - 24292601 / 02 / 03,1,1,0,7/26/2017 10:19,NULL
73,Kasba,"28/1,Bosepukur Road,Besides Kasba New Police Stationkolkata, West Bengal",Kasba,NULL,INWBKKT09,NULL,5583,41,82,700042,22.5198465,88.3810813,"033-24414477 / 78, 9830517575",1,1,0,7/26/2017 10:19,NULL
74,Salt Lake,"Unit D, Ground Floor,Rdb Boulevard,Plot K1 Block Ep & Gp,Saltlake Sector V,Kolkata, West Bengal",Salt Lake,NULL,INWBKKT08,NULL,5583,41,82,700091,22.569134,88.4310413,033 - 23576565 / 66 / 67,1,1,0,7/26/2017 10:19,NULL
75,Hazratganj,"2Nd Floor,Rohit House,Opposite Saharaganj Mall Shahnazaf Roadlucknow, Uttar Pradesh",Hazratganj,NULL,INUPLKN02,NULL,4933,38,82,226001,26.855019,80.9425943,0522-4000095/96/97,1,1,0,7/26/2017 10:19,NULL
76,Gomti Nagar,"1/10,Surya Kiran Building,Near Mithaiwala Chauraha Vivek Khand ,Gomti Nagarlucknow, Uttar Pradesh",Gomti Nagar,NULL,INUPLKN01,NULL,4933,38,82,226010,26.8005947,80.826707,"0522 - 2392440, 2392450, 2392460",1,1,0,7/26/2017 10:19,NULL
77,Ferozepur Road,"2618,Opposite Silver Arc Mall,Ferozpur Roadludhiana, Punjab",Ferozepur Road,NULL,INPBLUD01,NULL,3225,32,82,141001,30.901926,75.8265603,"0161 5096488, 09914250471",1,1,0,7/26/2017 10:19,NULL
